Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1,297.8,309.0,1403,64.2,0,1
1,298.1,308.6,1354,53.9,207,1
1,299.1,309.8,1398,55.4,217,1
1,299.6,310.7,1922,23.3,205,1
1,299.0,310.2,1377,62.5,92,1
1,299.0,309.9,1373,55.7,201,1
1,299.1,310.0,1367,56.3,203,1
1,298.9,309.8,1287,61.9,216,1
1,299.1,310.1,1435,48.8,229,1
1,299.1,310.2,1317,54.8,231,1
1,299.2,310.3,1352,48.9,238,1
1,298.6,309.8,2271,16.2,218,1
1,298.5,309.5,1294,66.7,12,1
1,298.5,309.4,1360,60.9,187,1
1,298.3,309.3,1337,56.1,206,1
1,298.6,308.2,1361,68.2,172,1
